choicepair,A1_prob,A1_payoff,A2_prob,A2_payoff,B1_prob,B1_payoff,B2_prob,B2_payoff,,A,first option
1,0.29,88,0.71,78,0.29,53,0.71,91,,B,second option
2,0.82,26,0.18,34,0.49,18,0.51,31,,A1,first outcome
3,0.59,31,0.41,63,0.89,92,0.11,20,,A2,second outcome
4,0.07,51,0.93,35,0.6,9,0.4,89,,B1,first outcome
5,0.48,13,0.52,70,0.18,72,0.82,60,,B2,second outcome
6,0.63,41,0.37,18,0.98,56,0.02,8,,prob,probability
7,0.17,70,0.83,65,0.35,100,0.65,50,,payoff ,monetary consequence
8,0.98,76,0.02,37,0.82,49,0.18,50,,,
9,0.37,26,0.63,64,0.89,19,0.11,81,,,
10,0.19,43,0.81,5,0.14,91,0.86,6,,,
11,0.91,43,0.09,96,0.66,48,0.34,38,,,
12,0.33,69,0.67,56,0.4,89,0.6,37,,,
13,0.99,24,0.01,53,0.71,17,0.29,77,,,
14,0.24,47,0.76,27,0.88,45,0.12,29,,,
15,0.09,56,0.91,19,0.76,13,0.24,90,,,
16,0.88,72,0.12,29,0.39,67,0.61,63,,,
17,0.61,37,0.39,50,0.6,6,0.4,45,,,
18,0.9,76,0.1,69,0.66,19,0.34,79,,,
19,0.69,57,0.31,40,0.07,39,0.93,74,,,
20,0.01,53,0.99,99,0.83,87,0.17,61,,,
21,0.12,52,0.88,73,0.98,92,0.02,19,,,
22,0.38,40,0.62,55,0.14,26,0.86,96,,,
23,0.16,66,0.84,23,0.79,15,0.21,29,,,
24,0.31,100,0.69,48,0.58,100,0.42,1,,,
25,0.05,60,0.95,76,0.84,95,0.16,17,,,
26,0.62,1,0.38,83,0.41,37,0.59,24,,,
27,0.8,54,0.2,21,0.49,98,0.51,3,,,
28,0.34,24,0.66,59,0.42,47,0.58,64,,,
29,0.19,30,0.81,97,0.14,85,0.86,82,,,
30,0.74,62,0.26,0,0.44,23,0.56,31,,,
31,0.99,31,0.01,68,0.04,32,0.96,47,,,
32,0.76,37,0.24,5,0.18,12,0.82,28,,,
33,0.74,65,0.26,6,0.64,93,0.36,35,,,
34,0.08,82,0.92,72,0.27,47,0.73,77,,,
35,0.88,79,0.12,82,0.2,57,0.8,94,,,
36,0.56,63,0.44,21,1,36,0,0,,,
37,0.93,86,0.07,27,0.8,87,0.2,18,,,
38,0.61,68,0.39,39,0.6,77,0.4,48,,,
39,0.68,41,0.32,65,0.85,100,0.15,2,,,
40,0,0,1,46,0.36,52,0.64,36,,,
41,0.91,80,0.09,19,0.64,37,0.36,65,,,
42,0.73,75,0.27,34,0.9,56,0.1,82,,,
43,0.87,77,0.13,72,0.26,67,0.74,100,,,
44,0.92,63,0.08,5,0.63,43,0.37,53,,,
45,0.05,56,0.95,72,0.95,68,0.05,95,,,
46,0.25,84,0.75,43,0.43,7,0.57,97,,,
47,0.78,32,0.22,99,0.32,39,0.68,56,,,
48,0.09,83,0.91,67,0.48,77,0.52,6,,,
49,0.08,54,0.92,31,0.15,44,0.85,29,,,
50,0.04,39,0.96,28,0.39,53,0.61,20,,,
51,0.44,14,0.56,72,0.21,9,0.79,31,,,
52,0.31,39,0.69,51,0.84,16,0.16,91,,,
53,0.1,45,0.9,14,0.14,25,0.86,27,,,
54,0.51,44,0.49,38,0.38,20,0.62,86,,,
55,0.33,85,0.67,60,0.24,98,0.76,26,,,
56,0.68,30,0.32,67,0.59,7,0.41,59,,,
57,0.49,15,0.51,50,0.94,64,0.06,14,,,
58,0.52,68,0.48,90,0.19,1,0.81,87,,,
59,0.63,65,0.37,74,0.47,7,0.53,85,,,
60,0.28,7,0.72,74,0.71,55,0.29,63,,,
61,0.33,-23,0.67,-29,0.43,-67,0.57,-28,,,
62,0.76,-3,0.24,-92,0.62,-14,0.38,-83,,,
63,0.82,-40,0.18,-90,0.17,-46,0.83,-64,,,
64,0.3,-89,0.7,-72,0.96,-96,0.04,-37,,,
65,0.13,-51,0.87,-56,0.93,-47,0.07,-70,,,
66,0.96,-61,0.04,-56,0.34,-7,0.66,-63,,,
67,0.44,-59,0.56,0,0.43,-80,0.57,-24,,,
68,0.25,-94,0.75,-37,0.83,-49,0.17,-11,,,
69,0.16,-15,0.84,-67,0.72,-56,0.28,-83,,,
70,0.51,-26,0.49,-76,0.77,-48,0.23,-34,,,
71,0.49,-1,0.51,-54,0.77,-33,0.23,-30,,,
72,0.73,-49,0.27,-75,0.17,-2,0.83,-100,,,
73,0.6,-46,0.4,-21,0.42,-99,0.58,-37,,,
74,0.29,-67,0.71,-28,0.05,-46,0.95,-44,,,
75,0.56,-4,0.44,-80,0.04,-46,0.96,-58,,,
76,0.77,-77,0.23,-62,0.71,-94,0.29,-51,,,
77,0.38,-22,0.62,-15,0.38,-4,0.62,-36,,,
78,0.56,-6,0.44,-59,0.64,-27,0.36,-83,,,
79,0.37,-91,0.63,-33,0.49,-41,0.51,-61,,,
80,0.61,-73,0.39,-58,0.44,-83,0.56,-8,,,
81,0.09,-54,0.91,-41,0.79,-65,0.21,-28,,,
82,0.29,-25,0.71,-86,0.76,-38,0.24,-99,,,
83,0.93,-55,0.07,-17,0.27,-88,0.73,-35,,,
84,0.45,-37,0.55,-34,0.41,-11,0.59,-54,,,
85,0.13,-19,0.87,-56,0.7,-32,0.3,-37,,,
86,0.66,-8,0.34,-95,0.93,-42,0.07,-30,,,
87,0.33,-23,0.67,-96,0.29,-40,0.71,-82,,,
88,0.73,-73,0.27,-54,0.17,-42,0.83,-70,,,
89,0.03,-75,0.97,-27,0.69,-41,0.31,-48,,,
90,0.48,-59,0.52,-2,0.14,-77,0.86,-9,,,
91,0.58,-50,0.42,-54,0.14,-73,0.86,-40,,,
92,0.13,-29,0.87,-76,0.55,-100,0.45,-28,,,
93,0.19,-68,0.81,-46,0.61,-9,0.39,-90,,,
94,0.84,-57,0.16,-90,0.25,-63,0.75,-30,,,
